rank,feature,score,p_value
84,142.043036206055,117.25237659894749,7.692759489116017e-27
85,390.517142041016,117.07184050023811,8.397646167855979e-27
86,191.576224072266,116.95429543864715,8.89097678310188e-27
87,430.17983125,116.40417794147032,1.1614269184547206e-26
88,157.121649487305,115.55096443244764,1.7579980849459562e-26
89,209.085440380859,113.2516354120178,5.376117731072627e-26
90,243.074331982422,112.23759047780948,8.804384410888782e-26
91,193.885184033203,112.22874760673415,8.842346740852275e-26
92,157.044607861328,110.7014198141115,1.8595036158542838e-25
93,166.873373730469,109.76120957065437,2.939168746521017e-25
94,180.830557568359,108.17394887971734,6.3687204976043e-25
95,447.405600292969,108.0992414199664,6.6048622792909805e-25
96,243.119040234375,107.524416453551,8.740558770108811e-25
97,208.845617993164,106.33341076196001,1.5621858246432545e-24
98,178.059332592773,105.7228678545254,2.104072515408339e-24
99,141.935660107422,105.5699216047402,2.2670622199048597e-24
100,156.462485058594,105.43864149014851,2.4170055026208684e-24
