rank,feature,score,p_value
41,241.098440869141,192.62434282290621,1.6042901148124562e-42
42,116.928236706543,192.39535976801238,1.787746953244388e-42
43,113.594580395508,190.6397210207201,4.1016361347733537e-42
44,283.122732861328,189.8435985063136,5.978191942717409e-42
45,151.834204418945,186.85090419658857,2.4660085232420867e-41
46,117.20970032959,180.26452192887874,5.6055198600779274e-40
47,289.395193798828,177.36156126831656,2.2259133426384565e-39
48,157.121649487305,172.64225724003634,2.100782962794198e-38
49,559.628805859375,169.19038534905062,1.0875128985605424e-37
50,241.620306713867,168.90208978423664,1.2476977569667784e-37
51,156.462485058594,167.71919146357203,2.1929170211194337e-37
52,116.556433422852,163.20380278094078,1.891593667532586e-36
53,417.169668896484,158.0810715501031,2.1891646384720046e-35
54,334.132315380859,157.61976336609723,2.7298363865908127e-35
55,560.593527539063,157.45168211686402,2.958469817427281e-35
56,192.067007763672,153.669835897674,1.8094714131607025e-34
57,312.139548046875,147.31095013398019,3.822355073849196e-33
58,163.050940258789,146.09521765612573,6.854115756919775e-33
59,262.098166210938,144.77875738470658,1.290355393639014e-32
60,335.132712109375,144.25993079372958,1.6558804558779104e-32
61,279.241629345703,142.97249168697155,3.075424827620754e-32
62,116.218344433594,140.2890947644253,1.1187196232046016e-31
63,143.560614331055,140.26101653517145,1.1339458874744996e-31
64,447.193381054688,140.103436072939,1.2233283534109484e-31
65,181.067511303711,139.8104187883831,1.4087019931566787e-31
66,193.677038891602,138.76841954171363,2.326889494312829e-31
67,264.308005078125,137.6736582529424,3.943278067867772e-31
68,149.035589916992,137.46152672649407,4.367742327148531e-31
69,473.211996777344,137.1058296074862,5.184571908541754e-31
70,209.085440380859,136.61856532795747,6.557292910974795e-31
71,157.044607861328,134.10922899841103,2.1996639540568975e-30
72,270.797476513672,131.96462694669825,6.1939843181999145e-30
73,318.804312451172,131.88793891823934,6.427679885881144e-30
74,156.703406079102,131.79209564192,6.732192665103435e-30
75,445.185843212891,131.33118815866536,8.410809691549161e-30
76,191.576224072266,129.90375262095506,1.6763517864235743e-29
77,390.517142041016,129.18600449994955,2.3715612139280627e-29
78,240.786856396484,128.7119108867234,2.982481320891271e-29
79,255.102270825195,127.09087342277238,6.532397153036632e-29
80,359.133078320313,124.49084796078763,2.299492269253955e-28
81,180.830557568359,124.25221023857551,2.581210516664898e-28
82,208.845617993164,122.45568254687787,6.1634360490839755e-28
83,133.279562695313,120.6476756566312,1.480801719198593e-27
84,253.903052075195,120.24844000393259,1.797176729287114e-27
85,170.606299145508,119.62502531308982,2.4318157475719732e-27
86,184.893805249023,117.7578159070273,6.018635674915692e-27
87,156.826513989258,115.33643798820201,1.951157923833738e-26
88,452.188376171875,113.90055121780664,3.9212203968795126e-26
89,641.293234570313,113.44058497237786,4.904108515585816e-26
90,281.247549755859,113.43373205483906,4.9204797507675637e-26
91,123.262167675781,113.33752846344174,5.156162952543786e-26
92,178.059332592773,112.41754870799582,8.066298355020547e-26
93,116.024107678223,112.39592293823621,8.151614068265457e-26
94,289.10951875,112.17393847868831,9.081323391510359e-26
95,447.405600292969,111.96510397920295,1.0052632140277413e-25
96,254.10871003418,105.55381721944767,2.284943061234615e-24
97,140.674414379883,104.47137489051867,3.874866984183212e-24
98,404.16567109375,104.19650987930436,4.43118246896264e-24
99,487.211233837891,104.11997994673351,4.599840260246379e-24
100,123.057577832031,103.01740478356048,7.88000880903767e-24
